prod_page_link,image_link,name,price,description,brand
https://www2.hm.com/en_us/productpage.0636455005.html,"http://lp2.hm.com/hmgoepprod?set=source[/07/25/07259d7912b6276118b89f437acdf685600f82ae.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Straight-cut Jacket,34.99,Straight-cut jacket in woven fabric with notched lapels and welt front pockets with flap. No fasteners. Lined.,H&M
https://www2.hm.com/en_us/productpage.0755451001.html,"http://lp2.hm.com/hmgoepprod?set=source[/27/f3/27f3a82b6fc74651cf5031c7c5f7d4a03118bf86.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Linen-blend Jacket,59.99,"Gently fitted jacket in soft, woven fabric made from a linen and viscose blend. Wide, notched lapels, one button at front, and welt front pockets. Lined.",H&M
https://www2.hm.com/en_us/productpage.0717879010.html,"http://lp2.hm.com/hmgoepprod?set=source[/2c/3d/2c3d628f3d90f0fc8c83c538c005a96c64677c7f.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Double-breasted Jacket,34.99,"Longer, double-breasted jacket in woven fabric with a soft, brushed finish. Notched lapels and welt front pockets. Lined.",H&M
https://www2.hm.com/en_us/productpage.0724626002.html,"http://lp2.hm.com/hmgoepprod?set=source[/89/66/89669016c25479847edcef1bd0515aea3cb637d1.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Linen-blend Jacket,49.99,"Gently fitted jacket in a linen and viscose blend without lapels. Hook-and-eye fastening at front, welt front pockets, and 3/4-length, gathered sleeves. Lined.",H&M
https://www2.hm.com/en_us/productpage.0568601006.html,"http://lp2.hm.com/hmgoepprod?set=source[/c0/a1/c0a1bd8ad5eb6e9d23e917d74d7fa6670a507e17.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Fitted Blazer,34.99,"Fitted blazer in woven fabric with notched lapels, welt front pockets, and decorative buttons at cuffs. Vent at back. Lined.",H&M
https://www2.hm.com/en_us/productpage.0568601026.html,"http://lp2.hm.com/hmgoepprod?set=source[/03/9a/039a2a2dd95ec8253d5446f5de83b4ed818b364c.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Fitted Blazer,34.99,"Fitted blazer in woven fabric with notched lapels, welt front pockets, and decorative buttons at cuffs. Vent at back. Lined.",H&M
https://www2.hm.com/en_us/productpage.0735577001.html,"http://lp2.hm.com/hmgoepprod?set=source[/47/bc/47bc9b1227045d108158f9824e147485e5122e7f.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Lyocell-blend Jacket,99.0,"Gently fitted, single-breasted jacket in a soft, woven Tencel® lyocell blend. Narrow, notched lapels, one button at front, and buttons at cuffs. Chest pocket, patch pockets with flap, and a double vent at back. Lined.",H&M
https://www2.hm.com/en_us/productpage.0705258008.html,"http://lp2.hm.com/hmgoepprod?set=source[/bb/31/bb311e50eef227a9842e510b104d0aadebb24658.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Fitted Jacket,49.99,"Gently fitted jacket in textured-weave fabric. Concealed hook-and-eye fastening at front, welt front pockets, and sleeves with gathered seams. Lined.",H&M
https://www2.hm.com/en_us/productpage.0742100001.html,"http://lp2.hm.com/hmgoepprod?set=source[/6d/87/6d87bc9d135ea16b6ca7c9fb1656e0be1c7b4fb5.jpg],origin[dam],category[ladies_blazerswaistcoats_kimono],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Lyocell-blend Kimono,79.99,"CONSCIOUS. Calf-length kimono in soft, woven fabric made from a Tencel® lyocell blend with a printed pattern. V-neck and concealed snap fasteners at front. Pleats at waist, concealed side pockets, and long, wide sleeves. Slits at sides.",H&M
https://www2.hm.com/en_us/productpage.0636455027.html,"http://lp2.hm.com/hmgoepprod?set=source[/8b/e4/8be4dfe802b94e95b3972102891fda35604eb99f.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Straight-cut Jacket,34.99,Straight-cut jacket in woven fabric with notched lapels and welt front pockets with flap. No fasteners. Lined.,H&M
https://www2.hm.com/en_us/productpage.0728156003.html,"http://lp2.hm.com/hmgoepprod?set=source[/58/19/5819eb756d46d54ffc33c9b277db75ea2996cdee.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Straight-cut Jacket,34.99,"Straight-cut jacket in woven fabric. Shawl collar, lightweight shoulder pads, welt front pockets, and 3/4-length sleeves with short slit at cuffs. No fasteners. Lined.",H&M
