,image_link,product_name,link,price,description,domain
0,https://www3.assets-gap.com/webcontent/0016/731/061/cn16731061.jpg,Chevron Pleated Midi Dress,https://bananarepublic.gap.com//browse/product.do?pid=426372002&cid=1131042&pcid=69883,149.0,"A flattering fit-and-flare style with oh-so-now pleated skirt and an intricate, paneled construction to create a chevron effect.",Banana Republic
1,https://www1.assets-gap.com/webcontent/0016/789/612/cn16789612.jpg,Eyelet Pinafore Dress,https://bananarepublic.gap.com//browse/product.do?pid=426755002&cid=1131042&pcid=69883,159.0,"Inspired by the romance of the prairie, this midi-length dress has delicate lace accents and a pinafore-style, square neck.",Banana Republic
2,https://www2.assets-gap.com/webcontent/0016/644/574/cn16644574.jpg,Paneled Fit-and-Flare Dress,https://bananarepublic.gap.com//browse/product.do?pid=426278022&cid=1131042&pcid=69883,119.0,"Expert tailoring and a flirty, A-line skirt make this dress an easy choice for the office and out on the town.",Banana Republic
3,https://www3.assets-gap.com/webcontent/0016/751/841/cn16751841.jpg,Floral Drop-Waist Shift Dress,https://bananarepublic.gap.com//browse/product.do?pid=426659002&cid=1131042&pcid=69883,129.0,"A classic shift dress in a modern, floral print and oh-so-now dropped waist cut.",Banana Republic
4,https://www1.assets-gap.com/webcontent/0016/746/359/cn16746359.jpg,Plaid Bi-Stretch Racer-Neck Sheath Dress,https://bananarepublic.gap.com//browse/product.do?pid=420645002&cid=1131042&pcid=69883,129.0,"Expert tailoring and a racer neck give this body-con dress a polished, sporty feel.",Banana Republic
5,https://www1.assets-gap.com/webcontent/0016/641/873/cn16641873.jpg,Sandwash Modal Knit Tank Dress,https://bananarepublic.gap.com//browse/product.do?pid=426672022&cid=1131042&pcid=69883,119.0,"A column-style tank dress, made in a soft, knit fabric with a tie at the waist to accentuate your shape.",Banana Republic
6,https://www1.assets-gap.com/webcontent/0016/573/429/cn16573429.jpg,Floral Ruffle Wrap Dress,https://bananarepublic.gap.com//browse/product.do?pid=426247022&cid=1131042&pcid=69883,129.0,A cascade of ruffles add a playful edge to this flirty and feminine wrap dress.,Banana Republic
7,https://www2.assets-gap.com/webcontent/0016/701/821/cn16701821.jpg,Polka Dot Bi-Stretch Sheath Dress,https://bananarepublic.gap.com//browse/product.do?pid=396877002&cid=1131042&pcid=69883,139.0,"A classic sheath dress made with our Bi-Stretch fabric - the same fabric as our customer-favorite Sloan pants - engineered with excellent stretch and recovery for a smooth, supportive fit that won't lose its shape.",Banana Republic
8,https://www4.assets-gap.com/webcontent/0016/632/735/cn16632735.jpg,Soft Ponte Twist-Front Dress,https://bananarepublic.gap.com//browse/product.do?pid=426244002&cid=1131042&pcid=69883,98.5,"Delicate draping across the bodice adds a Grecian feel to this knit dress. Made with a lighter, softer version of our favorite Ponte knit fabric for a beautiful drape and comfortable feel.",Banana Republic
9,https://www4.assets-gap.com/webcontent/0016/889/969/cn16889969.jpg,Stripe Ponte Tank Dress,https://bananarepublic.gap.com//browse/product.do?pid=426680012&cid=1131042&pcid=69883,119.0,"A column-style tank dress, made in a soft, knit fabric with a tie at the waist to accentuate your shape. Made with a favorite Ponte knit fabric for excellent drape and softness with a hint of stretch for a flattering, comfortable fit.",Banana Republic
10,https://www3.assets-gap.com/webcontent/0016/705/277/cn16705277.jpg,Stripe Ponte Tank Dress,https://bananarepublic.gap.com//browse/product.do?pid=426680002&cid=1131042&pcid=69883,119.0,"A column-style tank dress, made in a soft, knit fabric with a tie at the waist to accentuate your shape. Made with a favorite Ponte knit fabric for excellent drape and softness with a hint of stretch for a flattering, comfortable fit.",Banana Republic
11,https://www3.assets-gap.com/webcontent/0016/657/472/cn16657472.jpg,Ponte V-Neck Sheath Dress,https://bananarepublic.gap.com//browse/product.do?pid=426806002&cid=1131042&pcid=69883,119.0,"Made with our favorite ponte knit fabric with a extra stretch for a flattering, comfortable fit.",Banana Republic
12,https://www2.assets-gap.com/webcontent/0016/701/270/cn16701270.jpg,Paneled Fit-and-Flare Dress,https://bananarepublic.gap.com//browse/product.do?pid=426269022&cid=1131042&pcid=69883,119.0,"Expert tailoring and a flirty, A-line skirt make this dress an easy choice for the office and out on the town.",Banana Republic
13,https://www2.assets-gap.com/webcontent/0016/644/586/cn16644586.jpg,Paneled Fit-and-Flare Dress,https://bananarepublic.gap.com//browse/product.do?pid=426278002&cid=1131042&pcid=69883,119.0,"Expert tailoring and a flirty, A-line skirt make this dress an easy choice for the office and out on the town.",Banana Republic
14,https://www3.assets-gap.com/webcontent/0016/641/186/cn16641186.jpg,Paneled Fit-and-Flare Dress,https://bananarepublic.gap.com//browse/product.do?pid=426278012&cid=1131042&pcid=69883,119.0,"Expert tailoring and a flirty, A-line skirt make this dress an easy choice for the office and out on the town.",Banana Republic
15,https://www2.assets-gap.com/webcontent/0016/860/714/cn16860714.jpg,TENCEL™ Trench Dress,https://bananarepublic.gap.com//browse/product.do?pid=426341002&cid=1131042&pcid=69883,139.0,"The styling details of your favorite, timeless trench coat, in a versatile dress, made in super soft, breathable, eco-friendly TENCEL™ for a beautiful drape.",Banana Republic
16,https://www2.assets-gap.com/webcontent/0016/709/939/cn16709939.jpg,Stripe Trench Dress,https://bananarepublic.gap.com//browse/product.do?pid=426359002&cid=1131042&pcid=69883,149.0,"The styling details of your favorite, timeless trench coat, in a versatile dress made from a soft, silky feeling fabric.",Banana Republic
17,https://www2.assets-gap.com/webcontent/0016/877/672/cn16877672.jpg,Mod Mini Dress,https://bananarepublic.gap.com//browse/product.do?pid=426732002&cid=1131042&pcid=69883,98.5,A mod mini dress style in a timeless shift silhouette. Pair it with flat sneakers for day or dress it up with pointy-toe kitten heels for night.,Banana Republic
18,https://www4.assets-gap.com/webcontent/0016/851/036/cn16851036.jpg,Ruffle Halter Dress,https://bananarepublic.gap.com//browse/product.do?pid=426717002&cid=1131042&pcid=69883,119.0,"A romantic ruffle flounce wraps its way across this feminine halter dress, in an easy-wearing mini length.",Banana Republic
19,https://www1.assets-gap.com/webcontent/0016/736/380/cn16736380.jpg,Lightweight Wool Fit-and-Flare Dress,https://bananarepublic.gap.com//browse/product.do?pid=426266002&cid=1131042&pcid=69883,119.0,"A work-to-weekend dress in a flattering fit-and-flare silhouette. Made in our customer-favorite lightweight wool suiting fabric, crafted with added stretch for a comfortable, flattering fit.",Banana Republic
20,https://www4.assets-gap.com/webcontent/0016/747/735/cn16747735.jpg,Chevron Pleated Midi Dress,https://bananarepublic.gap.com//browse/product.do?pid=426372012&cid=1131042&pcid=69883,149.0,"A flattering fit-and-flare style with oh-so-now pleated skirt and an intricate, paneled construction to create a chevron effect.",Banana Republic
21,https://www4.assets-gap.com/webcontent/0016/707/779/cn16707779.jpg,Floral Ruffle Wrap Dress,https://bananarepublic.gap.com//browse/product.do?pid=426247012&cid=1131042&pcid=69883,129.0,A cascade of ruffles add a playful edge to this flirty and feminine wrap dress.,Banana Republic
22,https://www3.assets-gap.com/webcontent/0016/850/718/cn16850718.jpg,Knit Dress,https://bananarepublic.gap.com//browse/product.do?pid=471600012&cid=1131042&pcid=69883,119.0,"A customer favorite style, this versatile dress is made in a soft ribbed-knit fabric for a long and lean look.",Banana Republic
23,https://www4.assets-gap.com/webcontent/0016/941/180/cn16941180.jpg,Ruffle Halter Dress,https://bananarepublic.gap.com//browse/product.do?pid=426717012&cid=1131042&pcid=69883,119.0,"A romantic ruffle flounce wraps its way across this feminine halter dress, in an easy-wearing mini length.",Banana Republic
24,https://www4.assets-gap.com/webcontent/0016/699/649/cn16699649.jpg,Floral Paneled Fit-and-Flare Dress,https://bananarepublic.gap.com//browse/product.do?pid=426270002&cid=1131042&pcid=69883,129.0,"A wardrobe workhorse, this flattering skater dress style has princess seams and a flared skirt that's easily dressed up or down.",Banana Republic
25,https://www2.assets-gap.com/webcontent/0016/751/916/cn16751916.jpg,Drop-Waist Shift Dress,https://bananarepublic.gap.com//browse/product.do?pid=426665022&cid=1131042&pcid=69883,119.0,"A classic shift dress in a smooth, lightweight fabric and oh-so-now dropped waist cut.",Banana Republic
26,https://www4.assets-gap.com/webcontent/0016/736/927/cn16736927.jpg,Drop-Waist Shift Dress,https://bananarepublic.gap.com//browse/product.do?pid=426665032&cid=1131042&pcid=69883,119.0,"A classic shift dress in a smooth, lightweight fabric and oh-so-now dropped waist cut.",Banana Republic
27,https://www4.assets-gap.com/webcontent/0016/728/013/cn16728013.jpg,TENCEL™ Trench Dress,https://bananarepublic.gap.com//browse/product.do?pid=426341012&cid=1131042&pcid=69883,139.0,"The styling details of your favorite, timeless trench coat, in a versatile dress, made in super soft, breathable, eco-friendly TENCEL™ for a beautiful drape.",Banana Republic
