link,product_name,price,image_link,brand,desc
http://us.topshop.com/en/tsus/product/clothing-70483/check-peg-trouser-8560355,Check Peg Trousers,68.00,https://images.topshop.com/i/TopShop/TS16R06QCNM_M_1.jpg?$Large$,TopShop,"Tap into the patterned look with these all over check peg trousers. Designed in a cinammon tone, we love the piece so much we are even going matching. 100% Cotton. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/scarf-hanky-top-8576907,Scarf Hanky Top,48.00,https://images.topshop.com/i/TopShop/TS13R14QRED_M_1.jpg?$Large$,TopShop,This scarf printed hanky top in red embraces unique design and looks great tucked into jeans. Don't forget to accessorize for the finishing touch! 100% Polyester. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/s19-clip-buck-pini-8528334,Clip Buckle Pinafore,68.00,https://images.topshop.com/i/TopShop/TS05P81PWHT_M_1.jpg?$Large$,TopShop,"This clip buckle denim pinafore is a modern must-have to own this spring summer. Add a colourful bag to inject some bold colour to your look. 71% Cotton, 25% Polyester, 4% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/mid-blue-laddered-hem-straight-8515200,Mid Blue Laddered Hem Straight Jeans,80.00,https://images.topshop.com/i/TopShop/TS02G25QMDT_M_1.jpg?$Large$,TopShop,"These high rise, straight leg jeans in authentic mid blue low stretch denim with raw hem detailing will be a new favourite of yours. Tuck in a button through top for an updated and effortless feel.  91% Cotton, 9% Elastomultiester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/giraffe-cami-8573637,Giraffe Cami,35.00,https://images.topshop.com/i/TopShop/TS13A22QYLW_M_1.jpg?$Large$,TopShop,"This all over giraffe camisole top does animal print the unique way. It's all about opting for bold designs this season, so think outside the style box! 100% Polyester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/mid-blue-lucas-jean-8515226,Mid Blue Lucas Jeans,80.00,https://images.topshop.com/i/TopShop/TS02V02QMDT_M_1.jpg?$Large$,TopShop,"These low rise, slim leg boyfriend Lucas jeans in mid blue super soft denim are the jeans you always needed. Designed with rolled hems, these can really showcase your summertime footwear in style. 95% Cotton, 4% Polyester, 1% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/black-leather-western-jacket-8575198,Black Leather Western Jacket,320.00,https://images.topshop.com/i/TopShop/TS11C11QBLK_M_1.jpg?$Large$,TopShop,"If you are massive fan of the runway-ready Western trend, then you will love this black leather jacket. For a modern and monochrome look add some white to the outfit. 100% Leather Sheep. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/ck-emb-crop-polo-8536920,Embroidered Crop Polo by Calvin Klein,85.00,https://images.topshop.com/i/TopShop/TS12C19QWHT_M_1.jpg?$Large$,TopShop,This Calvin Klein embroidered crop polo will add a contemporary modern finish to your outfit. The polo works well with joggers or jeans. 100% Cotton. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/tie-wrap-blouse-by-boutique-8540542,**Tie Wrap Blouse By Boutique,150.00,https://images.topshop.com/i/TopShop/TS25T14QWHT_M_1.jpg?$Large$,TopShop,"This tie wrap blouse by Boutique is elegant, sophisticated and class. The white piece is great with new-season neutrals for a crisp summer look. 100% Viscose. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/sasha-scallop-cami-8522036,Scallop Cami,10.00,https://images.topshop.com/i/TopShop/TS09D28PWHT_M_1.jpg?$Large$,TopShop,Every girl needs go-to staples in their wardrobe that can be worn solo or layered. This square neck camisole top with scallop detail on sleeve and neck edge is the perfect piece. Pair with denim jeans or shorts for a minimal-cool style. 100% Cotton. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/tall-paper-bag-denim-short-8553245,TALL Paperbag Denim Shorts,60.00,https://images.topshop.com/i/TopShop/TS30S06QMDT_M_1.jpg?$Large$,TopShop,"Paperbag is a key shape this season. We are loving these denim shorts, especially when tucking in a classic summer t-shirt. 100% Cotton. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/tall-stripe-cami-with-linen-8582994,TALL Stripe Cami with Linen,35.00,https://images.topshop.com/i/TopShop/TS30B22QSTN_M_1.jpg?$Large$,TopShop,"Good news! Stripes will always be on trend. Channel a summer look with this all over stripe camisole with a touch of linen. 55% Viscose, 32% Cotton, 13% Linen. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/pleat-tie-wide-leg-jean-8514966,Pleat Tie Wide Leg Jeans,80.00,https://images.topshop.com/i/TopShop/TS02C17NWBK_M_1.jpg?$Large$,TopShop,"These high rise jeans in authentic washed black non stretch denim feature pleat tie detail. We love the wide leg silhouette, creating a fashion-forward twist. Play up with the proportions with a fitted tank top. 100% Cotton. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/poplin-off-shoulder-top-8573647,Poplin Off Shoulder Top,48.00,https://images.topshop.com/i/TopShop/TS13O12QWHT_M_1.jpg?$Large$,TopShop,"This poplin off the shoulder top in white looks ladylike and elegant, the perfect piece for summertime in the city or countryside. Add a beige bag and some true blue denim for a lovely look. 100% Cotton. Machine wash."
